frame,face_id,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,yaw in radians,pitch in radians
125,0,4.137,0.98,1,-0.071904,0.024699,-0.997106,-0.183539,-0.000694,-0.983012,-0.128,0.012
126,0,4.171,0.98,1,-0.07515,0.026891,-0.99681,-0.217354,0.034092,-0.975497,-0.147,0.031
127,0,4.204,0.98,1,-0.079468,0.0409,-0.995998,-0.213439,0.031633,-0.976444,-0.147,0.037
128,0,4.238,0.98,1,-0.073692,0.04294,-0.996356,-0.213276,0.032355,-0.976456,-0.144,0.038
129,0,4.271,0.98,1,-0.080769,0.05113,-0.995421,-0.222813,0.045102,-0.973817,-0.153,0.049
130,0,4.304,0.98,1,-0.073233,0.055534,-0.995767,-0.23164,0.041513,-0.971915,-0.154,0.049
131,0,4.338,0.98,1,-0.076164,0.047511,-0.995963,-0.22627,0.04548,-0.973002,-0.152,0.047
132,0,4.371,0.98,1,-0.08179,0.051485,-0.995319,-0.22718,0.042518,-0.972924,-0.156,0.048
133,0,4.404,0.98,1,-0.077572,0.049646,-0.99575,-0.225723,0.046908,-0.973062,-0.153,0.049
134,0,4.438,0.98,1,-0.077382,0.048885,-0.995802,-0.232041,0.044203,-0.971701,-0.156,0.047
135,0,4.471,0.98,1,-0.07056,0.046222,-0.996436,-0.220456,0.045314,-0.974344,-0.147,0.046
136,0,4.505,0.98,1,-0.074413,0.042246,-0.996332,-0.224824,0.046782,-0.973276,-0.151,0.045
137,0,4.538,0.98,1,-0.076328,0.041101,-0.996235,-0.222872,0.044745,-0.97382,-0.151,0.044
138,0,4.571,0.98,1,-0.077417,0.036963,-0.996313,-0.22653,0.04591,-0.972922,-0.153,0.042
139,0,4.605,0.98,1,-0.072364,0.037418,-0.996676,-0.224768,0.048,-0.973229,-0.15,0.043
140,0,4.638,0.98,1,-0.073635,0.042064,-0.996398,-0.224979,0.045407,-0.973305,-0.15,0.044
141,0,4.671,0.98,1,-0.073804,0.045208,-0.996248,-0.224963,0.046065,-0.973278,-0.151,0.046
142,0,4.705,0.98,1,-0.071964,0.050479,-0.996129,-0.227358,0.047076,-0.972673,-0.151,0.05
143,0,4.738,0.98,1,-0.074388,0.051487,-0.995899,-0.236756,0.052145,-0.970169,-0.157,0.053
144,0,4.771,0.98,1,-0.074222,0.049652,-0.996005,-0.225916,0.04366,-0.973168,-0.151,0.047
145,0,4.805,0.98,1,-0.080805,0.046295,-0.995654,-0.213612,0.030784,-0.976433,-0.148,0.039
146,0,4.838,0.98,1,-0.077714,0.046417,-0.995895,-0.212656,0.029489,-0.976682,-0.146,0.038
147,0,4.872,0.98,1,-0.076453,0.042941,-0.996148,-0.215397,0.037143,-0.97582,-0.147,0.041
148,0,4.905,0.98,1,-0.078885,0.042893,-0.99596,-0.205665,0.034567,-0.978012,-0.143,0.039
149,0,4.938,0.98,1,-0.072272,0.040584,-0.996559,-0.213319,0.040643,-0.976137,-0.144,0.041
150,0,4.972,0.98,1,-0.073609,0.044442,-0.996296,-0.219404,0.042442,-0.974711,-0.148,0.044
151,0,5.005,0.98,1,-0.074892,0.049789,-0.995948,-0.224796,0.051396,-0.973049,-0.151,0.051
152,0,5.038,0.98,1,-0.075469,0.048627,-0.995962,-0.221435,0.04862,-0.973962,-0.15,0.049
153,0,5.072,0.98,1,-0.075496,0.056841,-0.995525,-0.217742,0.042584,-0.975077,-0.148,0.05
154,0,5.105,0.98,1,-0.07489,0.058577,-0.99547,-0.221297,0.046914,-0.974077,-0.149,0.054
155,0,5.138,0.98,1,-0.0727,0.053609,-0.995912,-0.215812,0.043994,-0.975443,-0.145,0.049
156,0,5.172,0.98,1,-0.058848,0.036,-0.997618,-0.184442,0.008152,-0.98281,-0.122,0.022
157,0,5.205,0.98,1,-0.074329,0.025691,-0.996903,-0.18108,0.001502,-0.983467,-0.128,0.014
158,0,5.239,0.98,1,-0.087516,0.034735,-0.995557,-0.214272,0.031164,-0.976277,-0.152,0.033
159,0,5.272,0.98,1,-0.091242,0.039934,-0.995028,-0.216048,0.033829,-0.975797,-0.155,0.037
160,0,5.305,0.98,1,-0.088618,0.044745,-0.99506,-0.212344,0.028491,-0.97678,-0.151,0.037
161,0,5.339,0.98,1,-0.088361,0.039502,-0.995305,-0.221325,0.037772,-0.974468,-0.156,0.039
162,0,5.372,0.98,1,-0.083773,0.042058,-0.995597,-0.203075,0.027742,-0.97877,-0.144,0.035
163,0,5.405,0.98,1,-0.076743,0.053572,-0.995611,-0.212561,0.046209,-0.976055,-0.146,0.051
164,0,5.439,0.98,1,-0.084787,0.048673,-0.99521,-0.220219,0.046097,-0.974361,-0.154,0.048
165,0,5.472,0.98,1,-0.084817,0.059701,-0.994606,-0.233075,0.055491,-0.970874,-0.16,0.059
166,0,5.506,0.98,1,-0.079439,0.053339,-0.995412,-0.236028,0.051985,-0.970355,-0.159,0.054
167,0,5.539,0.98,1,-0.074957,0.049097,-0.995977,-0.24275,0.049368,-0.968832,-0.16,0.05
168,0,5.572,0.98,1,-0.069315,0.056457,-0.995996,-0.229071,0.054409,-0.971888,-0.15,0.056
169,0,5.606,0.98,1,0.026917,0.054137,-0.998171,-0.176113,0.082395,-0.980916,-0.075,0.069
170,0,5.639,0.98,1,-0.017735,0.047207,-0.998728,-0.103442,0.052417,-0.993253,-0.061,0.05
171,0,5.672,0.98,1,0.018451,0.046834,-0.998732,-0.127129,0.073627,-0.98915,-0.055,0.061
172,0,5.706,0.98,1,0.021305,0.044137,-0.998798,-0.126086,0.076243,-0.989085,-0.053,0.06
173,0,5.739,0.98,1,0.003593,0.036455,-0.999329,-0.120446,0.075208,-0.989867,-0.059,0.056
174,0,5.772,0.98,1,0.018111,0.051801,-0.998493,-0.12012,0.080665,-0.989477,-0.051,0.067
175,0,5.806,0.98,1,0.027748,0.05538,-0.99808,-0.112175,0.079169,-0.99053,-0.042,0.068
176,0,5.839,0.98,1,0.027704,0.0619,-0.997698,-0.113953,0.081199,-0.990162,-0.043,0.072
177,0,5.873,0.98,1,0.019462,0.05196,-0.99846,-0.11027,0.086366,-0.990142,-0.046,0.069
178,0,5.906,0.98,1,0.015433,0.017841,-0.999722,-0.105775,0.065385,-0.992238,-0.045,0.042
179,0,5.939,0.98,1,0.004672,0.01494,-0.999877,-0.105104,0.063582,-0.992427,-0.05,0.039
180,0,5.973,0.98,1,0.008285,0.021941,-0.999725,-0.109367,0.0671,-0.991734,-0.051,0.045
181,0,6.006,0.98,1,0.006945,0.012749,-0.999895,-0.107158,0.054943,-0.992723,-0.05,0.034
182,0,6.039,0.98,1,-0.005441,-0.003411,-0.999979,-0.101652,0.049405,-0.993593,-0.054,0.023
183,0,6.073,0.98,1,0.018046,0.002324,-0.999834,-0.108265,0.050558,-0.992836,-0.045,0.027
184,0,6.106,0.98,1,0.020497,0.000975,-0.999789,-0.099085,0.043055,-0.994147,-0.039,0.022
185,0,6.139,0.98,1,0.014636,-0.001268,-0.999892,-0.096365,0.050399,-0.994069,-0.041,0.025
186,0,6.173,0.98,1,0.007961,0.000814,-0.999968,-0.088774,0.042719,-0.995135,-0.04,0.022
187,0,6.206,0.98,1,0.014791,-0.001215,-0.99989,-0.085183,0.039196,-0.995594,-0.035,0.019
188,0,6.24,0.98,1,-0.000555,-0.010278,-0.999947,-0.081911,0.039987,-0.995837,-0.041,0.015
189,0,6.273,0.98,1,-0.003513,-0.005129,-0.999981,-0.095675,0.049394,-0.994186,-0.05,0.022
190,0,6.306,0.98,1,0.006779,-0.00354,-0.999971,-0.094591,0.048053,-0.994356,-0.044,0.022
191,0,6.34,0.98,1,0.007696,-0.001376,-0.999969,-0.086866,0.042352,-0.995319,-0.04,0.021
