frame,timestamp in s,success,yaw in radians,pitch in radians
299,9.943,1,-0.076,-0.229
300,9.977,1,-0.019,-0.179
301,10.01,1,0.019,-0.175
302,10.043,1,0.021,-0.182
303,10.077,1,-0.007,-0.221
304,10.11,1,-0.05,-0.274
305,10.143,1,-0.099,-0.18
306,10.177,1,-0.019,-0.261
307,10.21,1,-0.053,-0.273
308,10.244,1,-0.013,-0.256
309,10.277,1,-0.079,-0.261
310,10.31,1,-0.046,-0.139
311,10.344,1,-0.096,-0.093
312,10.377,1,-0.06,-0.279
313,10.41,1,-0.074,-0.22
314,10.444,1,0.027,-0.206
315,10.477,1,-0.044,-0.208
316,10.511,1,0.041,-0.198
317,10.544,1,0.032,-0.18
318,10.577,1,0.002,-0.2
319,10.611,1,0.032,-0.181
320,10.644,1,-0.059,-0.259
321,10.677,1,-0.097,-0.288
322,10.711,1,-0.102,-0.282
323,10.744,1,-0.057,-0.251
324,10.777,1,-0.063,-0.069
325,10.811,1,-0.109,-0.285
326,10.844,1,-0.16,-0.252
327,10.878,1,-0.129,-0.245
328,10.911,1,-0.236,-0.245
329,10.944,1,-0.231,-0.195
330,10.978,1,-0.141,-0.254
331,11.011,1,-0.263,-0.259
332,11.044,1,-0.241,-0.227
333,11.078,1,-0.224,-0.249
334,11.111,1,-0.241,-0.262
335,11.144,1,-0.189,-0.225
336,11.178,1,-0.279,-0.264
337,11.211,1,-0.263,-0.272
338,11.245,1,-0.234,-0.254
339,11.278,1,-0.233,-0.261
340,11.311,1,-0.226,-0.269
341,11.345,1,-0.207,-0.263
342,11.378,1,-0.248,-0.277
343,11.411,1,-0.234,-0.239
344,11.445,1,-0.242,-0.264
345,11.478,1,-0.262,-0.257
346,11.512,1,-0.228,-0.213
347,11.545,1,-0.217,-0.216
348,11.578,1,-0.237,-0.248
349,11.612,1,-0.242,-0.251
350,11.645,1,-0.214,-0.25
351,11.678,1,-0.217,-0.265
352,11.712,1,-0.207,-0.199
353,11.745,1,-0.211,-0.267
354,11.778,1,-0.211,-0.224
355,11.812,1,-0.23,-0.287
356,11.845,1,-0.237,-0.272
357,11.879,1,-0.28,-0.301
358,11.912,1,-0.26,-0.279
359,11.945,1,-0.259,-0.243
360,11.979,1,-0.254,-0.251
361,12.012,1,-0.224,-0.238
362,12.045,1,-0.2,-0.235
363,12.079,1,-0.208,-0.276
364,12.112,1,-0.237,-0.256
365,12.145,1,-0.231,-0.278
366,12.179,1,-0.249,-0.284
367,12.212,1,-0.237,-0.307
368,12.246,1,-0.235,-0.283
369,12.279,1,-0.226,-0.277
370,12.312,1,-0.23,-0.247
371,12.346,1,-0.163,-0.263
