frame,timestamp in s,success,yaw in radians,pitch in radians
274,9.109,1,0.222,0.227
275,9.142,1,0.208,0.177
276,9.176,1,0.221,0.195
277,9.209,1,0.211,0.174
278,9.243,1,0.202,0.165
279,9.276,1,0.197,0.179
280,9.309,1,0.198,0.2
281,9.343,1,0.202,0.177
282,9.376,1,0.212,0.198
283,9.409,1,0.216,0.198
284,9.443,1,0.219,0.227
285,9.476,1,0.214,0.226
286,9.51,1,0.207,0.247
287,9.543,1,0.184,0.196
288,9.576,1,0.208,0.263
289,9.61,1,0.195,0.212
290,9.643,1,0.196,0.208
291,9.676,1,0.198,0.206
292,9.71,1,0.198,0.181
293,9.743,1,0.186,0.192
294,9.776,1,0.207,0.192
295,9.81,1,0.198,0.201
296,9.843,1,0.202,0.202
297,9.877,1,0.212,0.186
298,9.91,1,0.208,0.186
299,9.943,1,0.214,0.181
300,9.977,1,0.195,0.205
301,10.01,1,0.183,0.198
302,10.043,1,0.197,0.188
303,10.077,1,0.199,0.205
304,10.11,1,0.202,0.235
305,10.143,1,0.197,0.237
306,10.177,1,0.183,0.208
307,10.21,1,0.182,0.203
308,10.244,1,0.186,0.213
309,10.277,1,0.183,0.213
310,10.31,1,0.211,0.231
311,10.344,1,0.188,0.19
312,10.377,1,0.21,0.224
313,10.41,1,0.201,0.204
314,10.444,1,0.203,0.192
315,10.477,1,0.215,0.201
316,10.511,1,0.218,0.207
317,10.544,1,0.226,0.205
318,10.577,1,0.209,0.194
319,10.611,1,0.211,0.192
320,10.644,1,0.208,0.203
321,10.677,1,0.21,0.213
322,10.711,1,0.22,0.194
323,10.744,1,0.222,0.195
324,10.777,1,0.214,0.179
325,10.811,1,0.18,0.215
326,10.844,1,0.068,0.213
327,10.878,1,-0.126,0.243
328,10.911,1,-0.277,0.254
329,10.944,1,-0.259,0.247
330,10.978,1,-0.178,0.259
331,11.011,1,-0.147,0.225
332,11.044,1,-0.244,0.263
333,11.078,1,-0.194,0.238
334,11.111,1,-0.176,0.2
335,11.144,1,-0.224,0.228
336,11.178,1,-0.218,0.198
337,11.211,1,-0.225,0.264
338,11.245,1,-0.255,0.314
339,11.278,1,-0.207,0.304
340,11.311,1,-0.224,0.278
341,11.345,1,-0.207,0.299
342,11.378,1,-0.184,0.272
343,11.411,1,-0.215,0.297
344,11.445,1,-0.199,0.274
345,11.478,1,-0.205,0.283
346,11.512,1,-0.216,0.27
347,11.545,1,-0.216,0.288
348,11.578,1,-0.179,0.322
349,11.612,1,-0.183,0.25
350,11.645,1,-0.168,0.277
351,11.678,1,-0.177,0.278
352,11.712,1,-0.187,0.275
353,11.745,1,-0.201,0.322
354,11.778,1,-0.204,0.305
355,11.812,1,-0.172,0.314
356,11.845,1,-0.215,0.307
357,11.879,1,-0.211,0.311
358,11.912,1,-0.24,0.297
359,11.945,1,-0.235,0.281
360,11.979,1,-0.229,0.301
361,12.012,1,-0.202,0.295
362,12.045,1,-0.178,0.31
363,12.079,1,-0.2,0.311
364,12.112,1,-0.181,0.299
365,12.145,1,-0.188,0.322
366,12.179,1,-0.244,0.304
367,12.212,1,-0.216,0.28
368,12.246,1,-0.19,0.328
369,12.279,1,-0.182,0.328
370,12.312,1,-0.183,0.326
371,12.346,1,-0.234,0.286
372,12.379,1,-0.234,0.289
373,12.412,1,-0.192,0.295
374,12.446,1,-0.224,0.299
375,12.479,1,-0.198,0.305
376,12.513,1,-0.191,0.335
377,12.546,1,-0.188,0.346
378,12.579,1,-0.188,0.348
379,12.613,1,-0.195,0.331
380,12.646,1,-0.195,0.335
381,12.679,1,-0.179,0.326
382,12.713,1,-0.171,0.345
383,12.746,1,-0.172,0.342
384,12.779,1,-0.179,0.334
385,12.813,1,-0.172,0.321
386,12.846,1,-0.18,0.317
387,12.88,1,-0.192,0.316
388,12.913,1,-0.195,0.318
389,12.946,1,-0.184,0.309
390,12.98,1,-0.175,0.325
391,13.013,1,-0.183,0.321
392,13.046,1,-0.183,0.318
393,13.08,1,-0.199,0.34
394,13.113,1,-0.179,0.325
395,13.146,1,-0.18,0.322
396,13.18,1,-0.187,0.325
397,13.213,1,-0.172,0.331
398,13.247,1,-0.195,0.316
399,13.28,1,-0.196,0.324
400,13.313,1,-0.194,0.317
401,13.347,1,-0.178,0.331
402,13.38,1,-0.18,0.324
403,13.413,1,-0.206,0.315
404,13.447,1,-0.191,0.319
405,13.48,1,-0.187,0.312
406,13.514,1,-0.216,0.311
407,13.547,1,-0.188,0.319
